,LATITUDE,LONGITUDE,API,BASIN,COUNTY,WELLNAME,WELLTYPE,DATECOMP,DATESAMPLE,FORMATION,PERIOD,DEPTHUPPER,DEPTHLOWER,DEPTHWELL,SPGRAV,PH,TDSUSGS,HCO3,Ca,Cl,KNa,Mg,Na,SO4,H2S,cull_chargeb
13397,33.5694,-102.4438,4.22193E+13,Permian,Hockley,Levelland Unit #541,Conventional Hydrocarbon,,1980-05-01,San Andres,Permian,,,4905,1.1,7.3,139057,234,15100,85800,,2630,33993,1200,,
13407,33.5712,-102.44,4.22193E+13,Permian,Hockley,Levelland Unit #597,Conventional Hydrocarbon,,1980-05-01,San Andres,Permian,,,4894,1.074,7.3,101692,339,11200,62100,,1880,24693,1480,,
13408,33.5712,-102.44,4.22193E+13,Permian,Hockley,Levelland Unit #597,Conventional Hydrocarbon,,1980-05-01,San Andres,Permian,,,4894,1.067,7.5,91542,251,10000,55700,,1660,22351,1580,,
13453,33.5691,-102.4343,4.22193E+13,Permian,Hockley,Levelland Unit #543,Conventional Hydrocarbon,,1980-05-01,San Andres,Permian,,,4890,1.11,6.6,153251,85,16900,95000,,2880,37306,1080,,
13465,33.5728,-102.4395,4.22193E+13,Permian,Hockley,Levelland Unit #531,Conventional Hydrocarbon,,1980-05-01,San Andres,Permian,,,4896,1.084,7.3,115452,210,12900,70900,,2070,27992,1380,,
13471,33.5728,-102.4437,4.22193E+13,Permian,Hockley,Levelland Unit #532,Conventional Hydrocarbon,,1980-05-01,San Andres,Permian,4731,4907,4907,1.085,7.3,115306,220,13200,70900,,2150,27486,1350,,
13478,33.5693,-102.4389,4.22191E+13,Permian,Hockley,Levelland Unit #370,Conventional Hydrocarbon,,1980-05-01,San Andres,Unknown,4696,4827,4888,1.07,7.4,94921,395,10500,57800,,1810,22886,1530,,
15018,32.433,-95.295,,East Texas,Smith,Slu Ph Ii No 05-01,Conventional Hydrocarbon,,1980-05-01,Unknown,Unknown,7154,7193,,1.0069,7.4,10573,541.71,135.93,5910.5,,34.23,3856.43,93.64,,
15411,29.755,-94.436,,Gulf Coast,Chambers,Fig Ridge Wpm-wsw #5,Conventional Hydrocarbon,,1980-04-28,Seabreeze-marginulina,Unknown,,,,1.0565,6.5,81118,158.48,2651,50078.1,,1922.83,24722.1,<MDL,,
14333,33.2958,-101.0735,4.21693E+13,Permian,Garza,S M Swenson Ut 106,Conventional Hydrocarbon,1975-01-03,1980-04-24,Strn,Ordovician,7348,7352,7856,1.2137,5.9,314224,94.67,21967,195405.7,,6323.38,86658.18,339.84,,
15653,32.107,-100.685,,Permian,Mitchell,Ellwood #1 U V Industry Well,Conventional Hydrocarbon,,1980-04-17,Mississippi Chat,Unknown,,,,1.0453,6.9,65582,707.67,2728,37944.39,,608.36,21533.18,2017.43,,
